0.0,9.21256694009,8.33722574903,2.0,5.98,0.0,1.0,28.0,1.0
1.0,9.21256694009,8.33722574903,2.0,4.41,1.0,1.0,30.0,1.0
2.0,9.21256694009,8.33722574903,2.0,5.08,2.0,1.0,27.0,1.0
3.0,9.21256694009,8.33722574903,2.0,5.42,3.0,1.0,18.0,1.0
4.0,9.21256694009,8.33722574903,2.0,5.64,4.0,1.0,16.0,1.0
5.0,9.21256694009,8.33722574903,2.0,3.78,5.0,1.0,16.0,1.0
6.0,9.21256694009,8.33722574903,2.0,2.16,6.0,1.0,15.0,2.0
7.0,9.21256694009,8.33722574903,2.0,2.6,7.0,1.0,32.0,1.0
8.0,9.21256694009,8.33722574903,2.0,2.37,8.0,1.0,16.0,2.0
9.0,9.21256694009,8.33722574903,2.0,2.66,9.0,1.0,38.0,1.0
10.0,9.21256694009,8.33722574903,2.0,2.48,10.0,1.0,27.0,1.0
11.0,9.21256694009,8.33722574903,2.0,2.31,11.0,1.0,13.0,1.0
12.0,9.21256694009,8.33722574903,2.0,2.09,12.0,1.0,7.0,1.0
13.0,9.21256694009,8.33722574903,2.0,2.48,13.0,1.0,19.0,1.0
14.0,9.21256694009,8.33722574903,2.0,2.05,14.0,1.0,7.0,1.0
15.0,9.21256694009,8.33722574903,2.0,2.21,15.0,1.0,20.0,1.0
16.0,9.21256694009,8.33722574903,2.0,2.02,16.0,1.0,5.0,1.0
17.0,9.21256694009,8.33722574903,2.0,2.51,17.0,1.0,13.0,2.0
18.0,9.21256694009,8.33722574903,2.0,2.63,18.0,1.0,40.0,2.0
19.0,9.21256694009,8.33722574903,2.0,2.26,19.0,1.0,15.0,1.0
20.0,9.21256694009,8.33722574903,2.0,2.15,20.0,1.0,19.0,1.0
21.0,9.21256694009,8.33722574903,2.0,2.54,21.0,1.0,20.0,1.0
22.0,9.21256694009,8.33722574903,2.0,2.18,22.0,1.0,16.0,1.0
23.0,9.21256694009,8.33722574903,2.0,2.19,23.0,1.0,9.0,1.0
24.0,9.21256694009,8.33722574903,2.0,2.17,24.0,1.0,9.0,1.0
25.0,9.21256694009,8.33722574903,2.0,2.26,25.0,1.0,16.0,1.0
26.0,9.21256694009,8.33722574903,2.0,2.01,26.0,1.0,4.0,1.0
27.0,8.80688475088,7.98750956045,4.0,2.15,27.0,1.0,10.0,1.0
28.0,8.80688475088,7.98750956045,4.0,2.07,28.0,1.0,4.0,2.0
29.0,8.80688475088,7.98750956045,4.0,2.56,29.0,1.0,36.0,1.0
30.0,8.80688475088,7.98750956045,4.0,2.79,30.0,1.0,10.0,2.0
